timestamp,views
2023-06-08,1855
2023-06-09,1876
2023-06-10,1895
2023-06-11,1937
2023-06-12,2037
2023-06-13,1925
2023-06-14,1987
2023-06-15,1785
2023-06-16,1874
2023-06-17,1862
2023-06-18,2046
2023-06-19,1937
2023-06-20,1836
2023-06-21,1941
2023-06-22,1794
2023-06-23,1987
2023-06-24,1709
2023-06-25,1966
2023-06-26,1894
2023-06-27,2053
2023-06-28,2158
2023-06-29,2157
2023-06-30,1966
2023-07-01,1988
2023-07-02,2410
2023-07-03,2249
2023-07-04,2344
2023-07-05,2222
2023-07-06,2130
2023-07-07,2146
2023-07-08,2117
2023-07-09,2270
2023-07-10,2325
2023-07-11,2100
2023-07-12,2522
2023-07-13,2377
2023-07-14,2169
2023-07-15,2035
2023-07-16,2277
2023-07-17,2278
2023-07-18,2231
2023-07-19,2234
2023-07-20,2211
2023-07-21,2123
2023-07-22,2241
2023-07-23,2447
2023-07-24,2617
2023-07-25,2522
2023-07-26,2542
2023-07-27,2357
2023-07-28,2457
2023-07-29,2241
2023-07-30,2428
2023-07-31,2437
2023-08-01,2545
2023-08-02,2516
2023-08-03,2657
2023-08-04,2530
2023-08-05,2545
2023-08-06,2700
2023-08-07,2719
2023-08-08,2611
2023-08-09,2662
2023-08-10,2681
2023-08-11,2626
2023-08-12,2719
2023-08-13,2815
2023-08-14,2964
2023-08-15,3067
2023-08-16,3032
2023-08-17,3177
2023-08-18,3057
2023-08-19,3139
2023-08-20,3266
2023-08-21,3464
2023-08-22,3479
2023-08-23,3544
2023-08-24,3794
2023-08-25,3813
2023-08-26,3602
2023-08-27,3973
2023-08-28,4122
2023-08-29,4356
2023-08-30,4410
2023-08-31,4490
2023-09-01,5156
2023-09-02,4479
2023-09-03,4865
2023-09-04,5209
2023-09-05,5133
2023-09-06,4910
2023-09-07,5238
2023-09-08,5318
2023-09-09,5065
2023-09-10,5639
2023-09-11,5998
2023-09-12,5913
2023-09-13,6169
2023-09-14,6221
2023-09-15,6675
2023-09-16,6905
2023-09-17,7510
2023-09-18,7945
2023-09-19,7900
2023-09-20,7999
2023-09-21,8400
2023-09-22,8272
2023-09-23,8321
2023-09-24,9556
2023-09-25,9771
2023-09-26,10098
2023-09-27,10320
2023-09-28,10864
2023-09-29,11338
2023-09-30,12342
2023-10-01,18452
2023-10-02,22154
2023-10-03,18738
2023-10-04,19478
2023-10-05,18692
2023-10-06,18423
2023-10-07,18176
2023-10-08,19492
2023-10-09,21073
2023-10-10,21591
2023-10-11,21699
2023-10-12,22845
2023-10-13,25595
2023-10-14,23657
2023-10-15,25732
2023-10-16,26960
2023-10-17,27540
2023-10-18,29117
2023-10-19,30096
2023-10-20,33345
2023-10-21,32805
2023-10-22,36814
2023-10-23,43102
2023-10-24,47026
2023-10-25,53961
2023-10-26,63075
2023-10-27,78124
2023-10-28,90677
2023-10-29,105651
2023-10-30,169424
2023-10-31,439669
2023-11-01,198312
2023-11-02,62511
2023-11-03,34229
2023-11-04,23489
2023-11-05,19526
2023-11-06,15750
2023-11-07,12150
2023-11-08,10441
2023-11-09,8951
2023-11-10,7653
2023-11-11,7519
2023-11-12,7242
2023-11-13,7020
2023-11-14,6489
2023-11-15,5759
2023-11-16,5092
2023-11-17,5079
2023-11-18,4503
2023-11-19,4765
2023-11-20,4601
2023-11-21,4594
2023-11-22,4717
2023-11-23,5676
2023-11-24,5085
2023-11-25,4572
2023-11-26,4411
2023-11-27,3652
2023-11-28,3572
2023-11-29,3502
2023-11-30,3819
2023-12-01,3355
2023-12-02,3157
2023-12-03,3343
2023-12-04,3070
2023-12-05,3175
2023-12-06,3148
2023-12-07,3123
2023-12-08,2971
2023-12-09,2633
2023-12-10,2670
2023-12-11,3058
2023-12-12,3173
2023-12-13,2937
2023-12-14,2850
2023-12-15,2914
2023-12-16,2682
2023-12-17,2763
2023-12-18,2878
2023-12-19,2817
2023-12-20,2698
2023-12-21,2689
2023-12-22,2781
2023-12-23,2886
2023-12-24,4488
2023-12-25,5053
2023-12-26,3119
2023-12-27,2551
2023-12-28,2419
2023-12-29,2391
2023-12-30,2242
2023-12-31,3494
2024-01-01,3687
2024-01-02,2600
2024-01-03,2299
2024-01-04,2332
2024-01-05,2224
2024-01-06,2256
2024-01-07,2408
2024-01-08,2450
2024-01-09,2573
2024-01-10,2438
2024-01-11,2454
2024-01-12,2334
2024-01-13,2284
2024-01-14,2314
2024-01-15,2448
2024-01-16,2579
2024-01-17,2415
2024-01-18,2435
2024-01-19,2240
2024-01-20,2118
2024-01-21,2270
2024-01-22,2257
2024-01-23,2335
2024-01-24,2403
2024-01-25,2478
2024-01-26,2626
2024-01-27,2142
2024-01-28,2271
2024-01-29,2382
2024-01-30,2263
2024-01-31,2269
2024-02-01,2194
2024-02-02,2146
2024-02-03,2009
2024-02-04,2128
2024-02-05,2217
2024-02-06,2135
2024-02-07,2403
2024-02-08,2176
2024-02-09,2194
2024-02-10,2174
2024-02-11,2296
2024-02-12,2323
2024-02-13,2859
2024-02-14,3988
2024-02-15,2652
2024-02-16,2134
2024-02-17,1993
2024-02-18,2061
2024-02-19,1985
2024-02-20,1990
2024-02-21,1954
2024-02-22,2063
2024-02-23,1974
2024-02-24,1973
2024-02-25,2140
2024-02-26,2271
2024-02-27,2065
2024-02-28,2017
